2014-03-19 12:59:47,868| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 24th - -0.07267545 Date 2008-01-21 00:00:00.0
2014-03-19 12:59:47,869| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 25th - -0.07180723 Date 2001-09-11 00:00:00.0
2014-03-19 12:59:47,869| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 26th - 0.07101865 Date 2008-11-24 00:00:00.0
2014-03-19 12:59:47,869| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 27th - 0.07073643 Date 2009-03-20 00:00:00.0
2014-03-19 12:59:47,869| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 28th - -0.07012401 Date 2012-06-25 00:00:00.0
2014-03-19 12:59:47,870| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 29th - 0.06978174 Date 2012-07-30 00:00:00.0
2014-03-19 12:59:47,870| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 30th - 0.06949352 Date 2001-09-24 00:00:00.0
2014-03-19 12:59:47,871| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|INSTRID 15063 HP 1 HP2USE 1 Periodo 3283 Iteration 1
2014-03-19 12:59:47,872| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Days 3283
2014-03-19 12:59:47,872| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|eventIn 3267
2014-03-19 12:59:47,872| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|eventOut 16
